State,Year,Total_co2_emission,Average_Price,resident_population,Total_energy,Total_renewable_energy,,
MS,1999,61.602741,7.89,2828,381140,65132,,
AR,2009,61.473387,15.64,2897,1007445,124205,,
UT,2012,61.408705,21.19,2853,1118331,20513,,
MD,2014,61.391691,25.25,5958,249564,53332,,
AR,2002,61.297214,9.39,2706,469275,108618,,
MS,2000,61.213588,9.77,2848,421659,75389,,
AR,1998,60.920671,7.71,2626,492864,114927,,
UT,1997,60.817356,7.66,2120,1044515,20402,,
WY,2016,60.672975,13.27,584,7518403,51279,,
MS,2013,60.612938,21.2,2989,412491,59672,,
MS,2011,60.488942,20.8,2978,442987,57390,,
MS,2009,60.486131,16.83,2959,456178,46240,,
AR,2005,60.081059,14.46,2781,484786,112451,,
MD,2012,59.859472,25.7,5887,244866,48435,,
NM,2006,59.591057,18.35,1962,2648709,25421,,
AR,1997,59.515746,8.24,2601,534963,124045,,
MD,2015,59.473748,21.3,5987,249854,51087,,
AR,2015,59.252208,15.87,2978,1319553,115780,,
MD,2013,59.152914,25.44,5924,248055,53684,,
NM,2005,59.028313,16.54,1932,2751872,21278,,
NM,2007,58.78878,19.16,1990,2530814,28539,,
UT,2016,58.761516,15.7,3043,920341,33653,,
WY,1997,58.659921,6.48,489,6174129,16153,,
ND,2014,58.60172,18.26,737,3254422,86933,,
NM,2004,58.427046,13.56,1904,2734986,10265,,
NM,2001,58.127912,11.39,1832,2780034,6523,,
NM,2000,57.955624,10.98,1821,2728279,7804,,
MD,2016,57.557961,20.2,6005,243417,51146,,
NM,2003,57.332267,11.93,1878,2695965,7241,,
ND,2015,57.224223,13.62,754,3673475,83833,,
NM,2009,57.068485,17.86,2037,2409618,27223,,
ND,2013,56.640846,18.2,722,2623151,74135,,
MS,1998,56.617354,8,2805,402186,64175,,
NM,1999,56.218916,9.18,1808,2576111,7777,,
NM,2008,56.198829,22.56,2011,2476942,32284,,
ND,2012,55.934628,17.89,701,2130164,77171,,
NM,1997,55.77071,9.81,1775,2668877,7894,,
MS,1997,55.653391,8.26,2777,431194,84291,,
NM,2011,55.463912,23.82,2080,2261687,31827,,
NM,1998,55.288356,9.05,1793,2596608,7160,,
NM,2002,55.154462,10.61,1855,2716948,6680,,
ND,2016,54.283107,12.29,754,3497535,96667,,
ND,2011,53.561826,17.03,685,1514901,79772,,
NE,2013,53.487188,19.3,1865,370598,33774,,
NM,2012,53.432146,24.19,2088,2317287,34485,,
NM,2010,53.038872,20.11,2065,2256233,28855,,
NM,2013,53.031242,23.64,2093,2373946,36303,,
ND,2008,52.734837,14.99,658,870666,31615,,
ND,2007,52.366447,12.75,653,762360,21677,,
ND,2005,52.254974,10.5,646,690673,19001,,
NE,2011,52.253056,19.27,1841,390854,31029,,
NE,2014,52.174558,19.22,1880,412224,42965,,
ND,2010,52.047486,13.16,675,1250694,62844,,
ND,2001,51.564903,7.28,639,671200,17531,,
ND,2009,51.21863,11.23,665,1014552,46461,,
ND,2002,51.203451,6.69,638,672993,19118,,
ND,2003,50.818262,7.39,639,667147,21109,,
NE,2015,50.686263,15.5,1892,435918,50626,,
ND,2000,50.67414,7.05,642,690675,24427,,
ND,2006,50.573418,11.36,649,724485,21676,,
NE,2012,50.516448,19.82,1853,357381,29067,,
NM,2015,50.094459,18.69,2090,2678832,35709,,
NM,2014,49.976941,23.71,2090,2569753,38712,,
NV,2005,49.863061,18.01,2432,37072,34474,,
NE,2010,49.824067,16.7,1830,399893,25860,,
ND,2004,49.35621,8.77,645,667906,21319,,
ND,1999,49.277079,5.78,644,696137,29255,,
NE,2016,48.55413,14.24,1906,434332,48343,,
NM,2016,48.387022,16.87,2093,2582214,50045,,
ND,1998,48.259177,5.43,648,692380,25846,,
AK,2005,48.215328,13.99,667,2415039,15866,,
NV,2004,47.73798,15.68,2346,37012,34321,,
NE,2009,47.305334,14.81,1813,293256,16804,,
ND,1997,47.07697,5.87,650,700136,36337,,
AK,2004,46.857059,11.07,659,2512619,18416,,
NE,2008,46.630625,18.65,1796,292823,13780,,
AK,2006,45.93318,16.61,675,2100329,13298,,
NV,2000,45.374477,11.76,2019,48346,44737,,
NV,2001,44.679767,12.97,2098,46736,43411,,
NE,2007,44.611873,16.73,1783,260719,13537,,
CT,2004,44.600367,15.94,3496,202659,30189,,
AK,2000,44.395048,8.03,628,2645900,12204,,
NE,2006,44.283615,15.94,1773,211636,18574,,
AK,2007,44.227313,17.94,680,2051639,14037,,
CT,2005,44.072674,19.62,3507,188134,25727,,
OR,2007,43.747883,18.21,3722,397326,394863,,
AK,2003,43.731458,9.08,648,2660210,19374,,
AK,1999,43.723639,6.17,625,2797459,10212,,
NE,2005,43.679792,14.69,1761,201838,18408,,
AK,2002,43.65497,7.78,642,2658368,17922,,
NV,2003,43.575091,13.88,2249,36444,33578,,
AK,2001,43.503252,8.18,634,2630790,16974,,
NE,2003,43.460564,10.8,1739,174732,19462,,
NE,2004,43.285538,12.21,1749,214447,18691,,
AK,1998,43.17097,5.8,620,3067133,13291,,
NE,1998,43.021723,7.68,1696,171329,23289,,
CT,2000,42.964991,13.51,3412,221252,50578,,
NE,2001,42.895178,10.36,1720,179455,19656,,
CT,1997,42.779266,12.73,3349,49401,50710,,
OR,2008,42.765116,20.88,3769,415254,404113,,
CT,2003,42.759513,14.42,3484,198795,31229,,
NE,2002,42.394221,9.63,1728,193440,19875,,
OR,1999,42.112991,8.79,3394,511188,509832,,
AK,1997,42.064116,6.74,613,3331780,14994,,
NE,1999,41.809308,8.04,1705,190064,23849,,
CT,2001,41.719118,13.49,3433,190925,29813,,
NV,2007,41.676322,21.28,2601,40055,37684,,
CT,1999,41.649899,12.01,3386,181746,49290,,
NE,2000,41.592549,10.07,1714,175822,21304,,
NV,2006,41.484077,20.05,2523,40789,38313,,
NV,2002,41.449194,13.05,2174,42635,39421,,
NV,1999,41.286442,10.07,1935,53083,48980,,
OR,1998,41.121123,8.11,3352,455462,454349,,
OR,2005,41.111408,15.26,3613,364534,364066,,
CT,2006,41.026612,23.09,3517,198740,25629,,
NE,1997,41.000026,8.52,1686,180676,23660,,
OR,2000,40.955598,10.56,3430,437913,436666,,
NV,2008,40.884911,23.67,2654,40375,37843,,
OR,2009,40.858083,17.58,3809,416479,407674,,
OR,2004,40.720603,13.21,3569,385096,384623,,
OR,2001,40.7171,10.97,3468,351088,349949,,
OR,2010,40.71451,19.11,3838,397788,390608,,
NV,1998,40.700629,9.24,1853,57757,53114,,
CT,1998,40.4465,12.07,3365,83210,49187,,
OR,2006,40.315063,16.91,3671,433651,433011,,
CT,2007,40.249796,25.31,3527,195758,23884,,
CT,2002,40.079822,13.02,3459,184091,28314,,
OR,2003,39.641998,11.97,3547,385219,384479,,
AK,2008,39.635789,23.91,687,1932755,12913,,
NV,2009,39.391924,20.01,2685,49245,46701,,
OR,2002,39.185346,11.11,3513,401491,400635,,
OR,2013,39.152974,22.04,3923,464024,457551,,
AK,2010,38.924047,20.37,714,1738219,16537,,
AK,2011,38.793915,25.13,722,1642015,15762,,
AK,2012,38.235964,25.44,730,1563461,17719,,
OR,2015,38.126722,18.95,4017,431350,424806,,
OR,2014,38.036133,22.11,3964,485600,478616,,
NV,1997,38.025121,9.89,1764,53973,48279,,
AK,2009,38.003626,18.22,699,1853317,15685,,
OR,2016,37.968582,17.35,4091,457191,450442,,
CT,2008,37.666793,29.1,3546,187550,26245,,
NV,2010,37.557173,21.38,2702,51023,48548,,
OR,2011,37.240308,22.12,3872,517200,510211,,
NV,2014,37.210377,23.43,2819,69333,67498,,
OR,2012,36.920503,22.58,3899,499534,493314,,
NV,2016,36.651105,17.29,2920,89544,87956,,
MT,2007,36.523287,17.28,965,1219593,117749,,
CT,2015,36.501388,23.31,3588,211889,29805,,
NV,2013,36.398179,22.87,2777,68462,66521,,
CT,2010,36.266345,25.64,3579,204189,29114,,
AK,2015,36.232439,18.82,738,1424762,19209,,
AK,2013,36.179222,24.92,737,1513406,18664,,
CT,2009,35.931238,23.65,3562,203640,29421,,
OR,1997,35.879189,8.63,3304,531821,530595,,
MT,2008,35.78724,20.47,976,1217402,123130,,
AK,2014,35.339307,24.83,736,1474609,19826,,
NV,2015,35.25925,20.14,2869,76598,74987,,
CT,2014,35.15249,27.96,3595,197800,32123,,
MT,2006,35.062025,16.38,953,1204723,122239,,
AK,2016,34.909446,16.63,742,1433116,19428,,
MT,2005,34.90081,14.89,940,1145086,113989,,
CT,2013,34.895227,27.77,3595,207893,29428,,
CT,2011,34.880689,28.18,3588,196367,29698,,
NV,2012,34.518174,23.78,2745,58604,56465,,
CT,2016,34.30133,21.89,3579,204856,31493,,
MT,2010,34.269361,18.25,991,1148850,114148,,
CT,2012,34.136396,28.66,3594,205475,26515,,
NV,2011,33.852041,23.42,2713,52314,49945,,
MT,2004,33.803253,12.37,930,1066749,101507,,
MT,2009,32.345529,16.14,984,1081016,113796,,
MT,2003,32.188773,10.79,920,967918,100336,,
MT,2014,31.968158,21.86,1022,1161544,134199,,
MT,2015,31.917066,17.64,1031,1081301,115815,,
MT,2001,31.612832,10.66,907,965030,80503,,
MT,2013,31.518926,22.06,1014,1105650,114552,,
MT,2011,31.406579,21.78,997,1104428,139894,,
MT,1999,30.977239,7.86,898,1048886,156945,,
MT,1998,30.523982,7.96,892,1056758,128200,,
MT,2016,30.459166,16,1041,875177,117703,,
MT,2000,30.44395,9.8,904,972200,113712,,
MT,2012,30.137107,21.99,1004,1009018,124262,,
MT,2002,29.959061,9.28,912,972060,108583,,
MT,1997,28.937601,8.42,890,1038163,153223,,
ME,2004,24.008399,12.55,1314,136769,136769,,
ME,2002,24.003466,9.85,1296,140385,140385,,
HI,2007,23.995537,24.98,1316,15031,15031,,
ME,2003,23.650089,11.22,1307,132344,132344,,
HI,2006,23.185958,24.33,1310,13999,13999,,
ME,2005,23.128772,14.89,1319,159674,159674,,
HI,2005,22.921143,21.39,1293,12936,12936,,
ME,2001,22.478033,10.18,1286,146146,146146,,
ME,2000,22.363891,9.7,1277,163025,163025,,
HI,2004,22.318919,17.73,1274,13769,13769,,
NH,2004,21.932576,15.58,1290,141054,34923,,
HI,2003,21.331147,15.6,1251,13310,13310,,
NH,2005,21.264651,18.46,1298,139970,41289,,
ME,2006,21.263799,17.13,1324,152339,152339,,
ME,2007,20.958948,18.83,1327,155620,155620,,
NH,2003,20.936995,14.15,1280,126527,29849,,
ME,1999,20.466287,8.36,1267,159186,159186,,
HI,2002,20.379701,14.23,1240,10452,10452,,
ME,1997,19.788473,8.26,1255,161828,161828,,
ME,1998,19.449951,8,1259,151240,151240,,
HI,2011,19.437938,38.37,1379,16563,16563,,
NH,2006,19.380855,21.84,1308,131170,33103,,
HI,2008,19.261458,35.87,1332,15912,15912,,
NH,2007,19.175009,23.25,1313,147707,34804,,
HI,2001,19.12645,15.34,1226,12389,12389,,
ME,2008,19.089214,20.35,1331,182576,182576,,
HI,2010,18.994817,30.47,1364,15165,15165,,
HI,2012,18.886275,40.15,1395,18124,18124,,
HI,2009,18.854396,25.21,1347,15800,15800,,
NH,2008,18.743491,26.66,1316,137613,39884,,
HI,1998,18.692372,11.88,1215,21657,21657,,
HI,2000,18.648078,15.23,1214,20386,20386,,
HI,1997,18.623087,13.32,1212,22502,22502,,
HI,2015,18.52188,28.29,1422,24873,24873,,
HI,2016,18.444466,25.11,1428,27372,27372,,
HI,2013,18.416095,38.78,1408,22397,22397,,
ME,2009,18.397521,17.48,1330,148204,148204,,
ID,2016,18.38191,15.49,1683,147037,132421,,
HI,1999,18.378186,12.49,1210,21767,21767,,
HI,2014,18.361935,37.46,1415,24072,24072,,
ME,2010,18.093762,18.69,1328,156140,156140,,
ID,2015,17.956009,16.9,1652,143835,134769,,
NH,2002,17.631765,12.81,1269,125950,28896,,
ME,2011,17.554396,21.87,1328,159444,159444,,
NH,2000,17.481631,13.68,1240,121237,38620,,
ID,2013,17.164023,20.21,1612,139303,132364,,
NH,2009,17.061862,22.09,1316,137581,45367,,
NH,2001,16.93438,13.62,1256,120964,30186,,
ME,2015,16.856806,17.93,1328,147747,147747,,
NH,1999,16.805606,11.89,1222,129573,38906,,
DE,2005,16.777795,16.48,845,954,954,,
ID,2014,16.685546,20.63,1631,155482,147017,,
NH,1998,16.666768,11.46,1206,128574,40585,,
ME,2014,16.647911,22.71,1331,157640,157640,,
NH,1997,16.617908,12.09,1189,126018,42282,,
ME,2013,16.60133,21.72,1328,161899,161899,,
NH,2010,16.591043,24.23,1317,157531,43499,,
DE,2007,16.542561,21.06,872,1530,1530,,
ME,2016,16.461775,16.71,1331,134140,134140,,
ID,2007,16.347573,15.91,1505,125621,125388,,
NH,2011,16.231166,27.76,1320,132424,44916,,
DE,2004,15.996264,14.01,831,1435,1435,,
ID,2010,15.994652,17.18,1571,132518,124752,,
DE,2000,15.962881,10.41,786,2290,2290,,
ID,2006,15.838995,15.07,1469,146507,146507,,
ME,2012,15.831098,21.89,1328,156806,156806,,
ID,2011,15.810097,19.69,1584,177074,169491,,
ID,2005,15.805056,13.65,1428,121084,121084,,
DE,2003,15.785768,12.3,818,1401,1401,,
DE,2006,15.727547,19.76,859,871,871,,
ID,2000,15.691397,9.04,1299,141448,140733,,
ID,2012,15.678515,20.25,1595,155178,148420,,
ID,2004,15.650187,11.68,1392,112379,111860,,
DE,2008,15.618797,24.35,884,2951,2951,,
ID,2001,15.611259,9.78,1320,105045,104276,,
ID,2008,15.567366,18.09,1534,133541,128460,,
SD,2014,15.493402,20.37,849,249137,79222,,
DE,2001,15.489089,11.24,796,1324,1324,,
SD,2013,15.458342,20.23,842,237030,69102,,
DE,1997,15.361104,9.75,751,2203,2203,,
DE,2002,15.24022,11.17,806,1314,1314,,
NH,2015,15.200789,22.63,1336,152673,53488,,
ID,2009,15.188878,15.56,1554,134502,132809,,
DE,1999,15.131386,9.51,775,2001,2001,,
SD,2010,15.104281,17.22,816,225510,68210,,
ID,2002,15.035146,9.95,1340,113779,112750,,
NH,2014,15.009389,27.85,1333,161839,55489,,
SD,2012,15.006836,21.04,833,243435,83396,,
SD,2008,14.998786,19.66,799,155819,34074,,
SD,2016,14.995021,15.01,863,234526,82703,,
ID,1999,14.9665,7.61,1276,167747,167141,,
DE,1998,14.95191,9.32,763,1936,1936,,
SD,2009,14.764784,15.43,807,191129,51099,,
SD,2011,14.641831,20.45,823,248494,94481,,
NH,2012,14.558496,28.43,1324,129990,44175,,
ID,2003,14.424383,10.7,1363,109553,108368,,
NH,2013,14.31227,27.73,1326,167007,52833,,
SD,2015,14.254485,16.3,854,227130,72698,,
SD,2000,14.187822,10.54,756,71314,60512,,
ID,1998,14.101458,7.37,1252,160202,159536,,
SD,2007,13.905572,17.69,792,126148,32789,,
RI,1998,13.893596,9.5,1031,4197,4197,,
ID,1997,13.843487,7.89,1229,179342,178765,,
SD,2002,13.821476,10.09,760,63264,46542,,
SD,2004,13.79981,12.8,770,92723,40115,,
NH,2016,13.752911,21.03,1342,163478,50927,,
SD,2003,13.715906,11.17,764,75918,46142,,
RI,1997,13.625036,11.07,1025,4347,4347,,
SD,2001,13.477568,11.05,758,49691,37753,,
SD,1999,13.452105,8.58,750,80564,70397,,
SD,2006,13.390671,16.84,783,123693,37450,,
DE,2012,13.377891,24.73,915,3520,3520,,
DE,2016,13.309544,18.51,949,3409,3409,,
SD,2005,13.301798,15.18,775,102808,34687,,
SD,1997,13.27102,9.05,744,105290,94209,,
RI,1999,13.238752,9.93,1040,4403,4403,,
DE,2013,13.110057,24.13,924,3816,3816,,
DE,2015,12.847488,20.05,941,3815,3815,,
SD,1998,12.840725,8.28,746,71472,60725,,
DE,2014,12.745682,23.8,933,4246,4246,,
RI,2001,12.295317,14.05,1057,3898,3898,,
DE,2011,12.249778,25.3,907,3969,3969,,
DE,2009,11.981532,21.23,892,3575,3575,,
RI,2000,11.740638,13.14,1050,4520,4520,,
RI,2002,11.722291,12.72,1066,3699,3699,,
RI,2003,11.510451,14.28,1071,3787,3787,,
DE,2010,11.272409,23.49,900,3577,3577,,
RI,2009,11.24571,21.52,1054,3543,3543,,
RI,2005,11.204502,19.02,1068,879,879,,
RI,2007,11.071046,22.96,1057,2780,2780,,
RI,2011,11.045627,26.17,1054,3444,3444,,
RI,2010,11.016609,23.62,1054,3424,3424,,
RI,2004,10.94164,16.01,1075,3846,3846,,
RI,2015,10.900181,22.57,1056,4109,4109,,
RI,2008,10.671282,26.42,1055,2946,2946,,
RI,2014,10.645255,26.55,1056,4404,4404,,
RI,2012,10.541459,26.57,1055,2879,2879,,
RI,2006,10.524651,22.56,1063,2630,2630,,
RI,2013,10.150881,26.21,1055,2681,2681,,
RI,2016,9.749477,21.17,1057,4114,4114,,
VT,2004,7.032695,15.96,620,62271,22040,,
VT,2005,6.809392,18.66,621,66815,24325,,
VT,2000,6.750987,13.6,610,68821,21389,,
VT,2006,6.683664,21.03,623,80881,27595,,
VT,2001,6.612325,13.9,612,60900,17341,,
VT,2003,6.602036,14.66,618,70371,24054,,
VT,2007,6.511669,22.9,623,67989,18652,,
VT,1999,6.499816,11.69,605,63218,20800,,
VT,1997,6.489952,11.4,597,64725,19949,,
VT,2002,6.358235,13.8,615,64091,22714,,
VT,1998,6.256511,11.08,600,55515,20290,,
VT,2009,6.175924,21.15,625,87639,31572,,
VT,2015,6.161364,21.31,625,30551,30551,,
VT,2016,5.954931,19.87,624,28443,28443,,
VT,2008,5.943214,27.01,624,78193,27029,,
VT,2014,5.902009,27.69,625,85902,32973,,
VT,2010,5.895783,23.65,626,80702,30716,,
VT,2011,5.821912,27.91,627,80646,29295,,
VT,2013,5.759173,28.26,626,84095,33455,,
VT,2012,5.465304,29.06,626,78283,25999,,
DC,2000,4.293898,14.58,572,1354,1354,,
DC,1997,4.254097,13.19,568,1378,1378,,
DC,2002,4.172307,14.62,573,880,880,,
DC,1999,4.150251,13.28,570,1259,1259,,
DC,2001,4.078289,15.21,575,866,866,,
DC,1998,4.074617,13.2,565,1222,1222,,
DC,2004,4.00051,16.74,568,943,943,,
DC,2003,3.922428,15.82,569,925,925,,
DC,2005,3.918916,20.08,567,47,47,,
DC,2007,3.37649,24.57,574,55,55,,
DC,2010,3.211689,25.7,605,106,106,,
DC,2006,3.180188,24.03,571,51,51,,
DC,2009,3.174372,24.38,592,48,48,,
DC,2008,3.082056,27.52,580,64,64,,
DC,2011,3.081003,26.59,620,278,278,,
DC,2014,3.019504,24.92,663,345,345,,
DC,2015,2.986004,23.1,675,848,848,,
DC,2013,2.827055,24.7,650,306,306,,
DC,2016,2.763911,22.36,687,1121,1121,,
DC,2012,2.64867,25.42,635,274,274,,